f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9
-0.13121244,0.008365801,0.12897243,0.11696141,-0.18073562,0.16063866,0.015166869,0.105773136,0.14726637,0.033871572
-0.1325925,-0.00780309,0.13126262,0.13620782,-0.18819265,0.14617258,-0.009371097,0.09112821,0.12202866,0.034144644
-0.07867867,-0.14535995,0.15246437,0.028240731,0.018569782,0.18501104,0.1258528,0.105627656,0.14589864,0.12546395
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.13419051,-0.00013740333,0.15219204,0.1199551,-0.17413618,0.15670873,0.010415915,0.09937637,0.135209,0.041935906
-0.06899434,-0.14872535,0.140703,0.0320974,0.01853238,0.18426372,0.12103324,0.10226248,0.14763838,0.13176532
-0.0783983,-0.14053841,0.13660379,0.041809034,0.003033521,0.17961201,0.12573367,0.115903646,0.1461484,0.13077863
-0.12834358,-0.017565321,0.15530665,0.12103344,-0.16374736,0.17407277,0.012168885,0.10990979,0.145275,0.042376198
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.083286926,-0.1438027,0.14204286,0.037866477,-0.0042808414,0.18091679,0.10922913,0.10621815,0.1567066,0.123996206
-0.08408032,-0.11676569,0.15884577,0.064204685,-0.054724887,0.182892,0.09111092,0.1078342,0.16018865,0.11304845
-0.0798253,-0.13394813,0.14540777,0.06319681,-0.048732877,0.17831299,0.08755366,0.10256185,0.14798965,0.1287897
-0.11910904,-0.05916965,0.15878929,0.088448994,-0.10004227,0.1782709,0.050941613,0.1200626,0.16349995,0.08303517
-0.14069329,0.019775167,0.14476591,0.13297424,-0.17948243,0.12834543,-0.015630558,0.10636991,0.13722211,0.0067597665
-0.1301174,0.013367065,0.1349463,0.12112666,-0.18280715,0.13910088,-0.01932325,0.09644606,0.1446817,0.024493432
